vehicle_type,Year,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
Two_Wheeler_EV,FY18,96,91,137,116,99,109,160,214,189,176,156,462,2005
Two_Wheeler_EV,FY19,486,681,955,1281,1570,2258,2560,3311,3171,2745,3121,5868,28007
Two_Wheeler_EV,FY20,3079,1668,1758,1568,1507,1558,2136,3147,2235,2942,2353,2883,26834
Two_Wheeler_EV,FY21,85,558,1511,1488,2115,3089,2953,4188,4948,5319,6579,11970,44803
Two_Wheeler_EV,FY22,5636,1315,4751,14692,16099,17959,20704,24503,26862,30041,35759,54320,252641
Two_Wheeler_EV,FY23,52389,41727,44054,46584,53129,55124,78236,77376,65106,62891,66091,85347,728054
Two_Wheeler_EV,FY24,66877,105582,46106,54614,62767,64077,75144,92018,75855,82018,82508,136560,944126
Three_Wheeler_EV,FY18,4748,6720,7178,8775,8905,7414,7250,9598,8719,8750,6904,7009,91970
Three_Wheeler_EV,FY19,6593,7276,7556,9844,9990,11130,12305,10517,12501,10533,8786,9000,116031
Three_Wheeler_EV,FY20,7888,8256,9187,10746,11527,14340,13261,15543,14422,13553,13622,10706,143051
Three_Wheeler_EV,FY21,870,668,4662,5871,5937,7747,7946,8537,10242,10931,12550,14937,90898
Three_Wheeler_EV,FY22,7951,1048,6338,1853,13309,16964,18497,18690,24118,19548,19621,24606,172543
Three_Wheeler_EV,FY23,21626,24100,27846,30489,33055,37404,35889,40403,35542,34308,35995,45225,401882
Three_Wheeler_EV,FY24,38083,44698,48151,53877,56860,57547,57006,53912,57653,53459,50598,60641,632485
Four_Wheeler_EV,FY18,89,162,81,73,95,116,113,86,81,96,116,96,1204
Four_Wheeler_EV,FY19,146,175,210,179,116,139,75,176,126,74,228,241,1885
Four_Wheeler_EV,FY20,139,65,57,111,100,180,194,218,105,290,493,425,2377
Four_Wheeler_EV,FY21,3,84,296,357,371,338,462,567,525,650,615,886,5154
Four_Wheeler_EV,FY22,634,257,817,1119,1105,1322,1383,1629,2617,1563,2452,3724,18622
Four_Wheeler_EV,FY23,2255,2967,3214,3410,3371,3548,3916,3981,3832,3439,4738,8828,47499
Four_Wheeler_EV,FY24,6041,7718,7974,7771,7016,6365,7602,7526,7490,8440,7438,9051,90432
Bus_EV,FY18,0,2,1,0,0,0,0,11,0,0,0,5,19
Bus_EV,FY19,0,2,1,0,0,0,1,7,2,5,43,5,66
Bus_EV,FY20,20,38,30,35,80,33,82,30,51,9,19,7,434
Bus_EV,FY21,0,0,0,0,0,1,8,34,10,39,186,95,373
Bus_EV,FY22,155,84,70,49,80,79,84,34,220,128,133,78,1194
Bus_EV,FY23,165,165,145,207,227,206,241,117,161,139,113,98,1984
Bus_EV,FY24,88,280,204,144,269,258,239,268,577,549,345,472,3693
